name,abbreviation,staff_tests,staff_tests_with_multiples,weekly_staff_cases,total_staff_cases,weekly_staff_recovered,staff_recovered,weekly_staff_deaths,total_staff_deaths,weekly_prisoner_tests,prisoner_tests,prisoner_tests_with_multiples,weekly_prisoner_cases,total_prisoner_cases,weekly_prisoners_recovered,prisoners_recovered,total_prisoner_deaths,as_of_date,notes
Maryland,MD,,35180,,1129,,879,,2,,38256,,,1673,,1268,13,11/30/20,
Massachusetts,MA,,,,437,,,,,,,17569,,1255,,,8,12/2/20,
Michigan,MI,,73119,,1981,,,,3,,39740,319405,,13940,,6070,88,12/1/20,
Minnesota,MN,,,,816,,558,,0,,,72318,,3069,,2424,5,12/1/20,"Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new testing method, they don't have new presumed positives that will be added to this column."
Mississippi,MS,,464,,146,,,,,,,2282,,902,,,,11/30/20,
Missouri,MO,,12181,,1938,,1717,,4,,,59757,,4627,,4041,33,12/1/20,"Staff numbers include 209 non-prison staff, 187 of which have recovered."
Montana,MT,24,,,3,,,,0,,54,,,2,,,0,5/27/20,
Nebraska,NE,,,,359,,257,,,,3268,5200,,743,,502,5,12/4/20,
Nevada,NV,,,,359,,67,,2,,,,,1044,,27,2,12/1/20,"In late December, Nevada revised its number of deaths and this week's figures were adjusted accordingly."
New Hampshire,NH,,,,42,,19,,0,,385,,,13,,1,0,12/1/20,
New Jersey,NJ,,,,1307,,1189,,,,,139949,,3310,,,52,12/1/20,
New Mexico,NM,,,,604,,300,,0,,,22474,,1592,,579,11,12/1/20,
New York,NY,,,,1896,,1580,,6,,35899,,,1826,,1682,18,12/2/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
North Carolina,NC,,11063,,1647,,1305,,5,,36257,63444,,5724,,4556,24,12/2/20,
North Dakota,ND,993,12197,,217,,200,,0,,2498,16028,,484,,431,0,12/1/20,"We initially inadvertantly included juvenile facilities in our staff counts and have updated them since. In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,,2544,,1963,,7,,,44412,,7795,,5865,115,12/1/20,"Ohio revised its November numbers slightly, and we've adjusted this week's totals accordingly."
Oklahoma,OK,,5086,,650,,,,,,,22853,,5850,,,33,12/1/20,
Oregon,OR,,,,396,,322,,0,,,10340,,1396,,1282,17,12/1/20,
Pennsylvania,PA,,4046,,1324,,673,,3,,,36456,,2557,,816,35,12/1/20,
Rhode Island,RI,,,,232,,,,0,,,,,605,,,0,12/1/20,"For staff: there were 182 cases among facility staff and 68 cases among non-facility staff. There have also been 13 presumptive positive cases among staff through 11/19, and an additional 5 presumptive positive cases for staff between 11/23 and 12/10. We've subtracted all presumptive positive cases for this 12/1 figure, which may be a slight overcount or undercount depending on the number of presumptive positive cases between 11/19-11/23 and between 12/1-12/10.

For prisoners: similar issues hold for calculating the right number of presumptive positive cases. Our figure reflects 574 cases among residents and 49 cases among newly admitted residents who were infected prior to admission. We subtract 18 total presumptive positive cases from this figure."
South Carolina,SC,,,,574,,529,,2,,8407,20607,,2411,,2215,32,12/1/20,
South Dakota,SD,,369,,164,,155,,0,,,4909,,2159,,2079,4,12/1/20,
Tennessee,TN,,8141,,795,,681,,2,,,,,6025,,5960,28,12/2/20,"Tennessee later revised their numbers of prisoner tests down, but were not able to provide an updated figure for this week."
Texas,TX,,93239,,6895,,5759,,23,,,247831,,26473,,23617,167,12/1/20,
Utah,UT,,,,168,,120,,0,,,9993,,1461,,716,9,11/30/20,
Vermont,VT,,,,27,,24,,0,,2421,8820,,241,,239,0,12/1/20,
Virginia,VA,,,,1107,,958,,1,,,55872,,4706,,4312,34,12/2/20,
Washington,WA,,,,363,,,,1,,5847,6542,,936,,550,3,12/1/20,
West Virginia,WV,,5759,,254,,213,,0,,,7935,,734,,637,3,12/1/20,
Wisconsin,WI,,,,1848,,1658,,,,,71952,,8458,,7222,11,12/1/20,
Wyoming,WY,,,,185,,154,,,,,12332,,436,,403,,11/30/20,
Federal,US,,,,3408,,1984,,2,,81044,,,26388,,21492,157,12/1/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Alabama,AL,,,,645,,435,,2,,,6984,,834,,724,34,11/27/20,
Alaska,AK,,,,111,,,,0,,,10724,,644,,,1,11/24/20,
Arizona,AZ,,,,996,,824,,,,41870,,,2954,,2627,28,11/24/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Arkansas,AR,,,,780,,,,2,,,19732,,8786,,8331,48,11/24/20,"389 staff cases since Sept. 1, plus 399 from Wellpath, which stopped reporting cases on Sept. 1."
California,CA,,,76,348,23,165,1,1,4133,15964,,1149,2365,79,351,11,6/2/20,
Colorado,CO,,,,725,,,,,,16327,84678,,3535,,,7,11/24/20,
Connecticut,CT,,19613,,668,,531,,0,,,23125,,1809,,1692,8,11/24/20,
Delaware,DE,,,1,89,7,60,0,0,,,,0,148,5,137,7,6/1/20,
Florida,FL,,,,3735,,3436,,4,,,84487,,17015,,16401,187,11/25/20,
Georgia,GA,,,,1070,,976,,2,,,,,2276,,2050,81,11/24/20,
Hawaii,HI,,,,134,,114,,0,,,8771,,1226,,936,1,11/24/20,
Idaho,ID,3277,,,274,,220,,0,,9442,,,2633,,1874,5,11/24/20,
Illinois,IL,5892,,,2247,,1735,,1,,16562,,,3960,,2770,41,11/24/20,
Indiana,IN,,3646,,850,,640,,3,,,10031,,2039,,1815,35,11/24/20,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,484,,400,,1,,,27598,,3199,,2983,10,11/24/20,
Kansas,KS,,,,674,,,,3,,,,,4665,,,11,11/23/20,
Kentucky,KY,,,,364,,272,,2,,,,,2486,,1499,15,11/24/20,
Louisiana,LA,2074,,,567,,521,,5,,7133,,,2504,,2347,31,11/24/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Maine,ME,,,,,,,,,,,5766,,150,,,,11/24/20,
Maryland,MD,,34103,,949,,807,,2,,36182,,,1468,,1022,13,11/23/20,
Massachusetts,MA,,,,380,,,,,,,15977,,1019,,,8,11/24/20,
Michigan,MI,,65980,,1742,,899,,3,,39584,288501,,12112,,5783,77,11/24/20,
Minnesota,MN,,,,678,,465,,0,,,70340,,2926,,2220,4,11/24/20,"Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new testing method, they don't have new presumed positives that will be added to this column"
Mississippi,MS,,464,,146,,,,,,,2282,,902,,,,11/25/20,
Missouri,MO,,,,1909,,1648,,4,,,,,4614,,3825,27,11/24/20,The staff figures also include front office staff
Montana,MT,24,,,3,,,,0,,54,,,2,,,0,6/2/20,
Nebraska,NE,,,,321,,228,,,,3210,4755,,677,,312,4,11/27/20,
Nevada,NV,,,,339,,65,,2,,,,,674,,27,0,11/24/20,"In late December, Nevada revised its number of deaths and this week's figures were adjusted accordingly."
New Hampshire,NH,,,,30,,15,,0,,,257,,7,,1,0,11/24/20,
New Jersey,NJ,,,,1182,,,,,,,,,3144,,,52,11/24/20,
New Mexico,NM,,,,553,,241,,0,,,22474,,1479,,566,11,11/24/20,
New York,NY,,,,1720,,1523,,5,,35596,,,1737,,1621,18,11/24/20,The staff cases and recovered figures are as of 11/25. The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
North Carolina,NC,,,,1560,,1242,,4,,35973,60639,,5322,,4238,24,11/24/20,
North Dakota,ND,991,11656,,212,,161,,0,,2487,15276,,475,,291,0,11/25/20,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly. Testing data is from 11/24/20."
Ohio,OH,,,,2243,,1762,,5,,,43222,,7563,,5708,113,11/24/20,
Oklahoma,OK,,4555,,590,,,,,,,22461,,5800,,,,11/24/20,"Oklahoma later revised its prisoner numbers down, but has not provided an updated figure for this week."
Oregon,OR,,,,368,,317,,0,,,10327,,1383,,1260,17,11/24/20,
Pennsylvania,PA,,3838,,1172,,552,,3,,,35661,,2119,,803,27,11/24/20,
Rhode Island,RI,,,,,,,,,,,,,,,,,,
South Carolina,SC,,,,564,,524,,2,,8350,,,2410,,2215,31,11/24/20,
South Dakota,SD,,353,,159,,146,,0,,,4576,,2104,,2038,3,11/24/20,
Tennessee,TN,,,,,,,,,,,,,,,,,,
Texas,TX,,90545,,6591,,5487,,23,,,244243,,26373,,22491,167,11/24/20,
Utah,UT,,,,168,,120,,,,,9022,,1289,,707,9,11/25/20,
Vermont,VT,,,,25,,24,,0,,2397,8543,,241,,238,0,11/24/20,
Virginia,VA,,,,1020,,906,,1,,,54030,,4590,,4100,34,11/24/20,
Washington,WA,,,,324,,,,1,,5664,6337,,731,,513,3,11/24/20,
West Virginia,WV,,,,237,,208,,0,,,7825,,650,,594,2,11/24/20,
Wisconsin,WI,,,,1741,,1466,,,,,71246,,8226,,6234,11,11/24/20,
Wyoming,WY,,,,,,,,,,,,,,,,,,
Federal,US,,,,3122,,1795,,2,,79017,,,24317,,19926,157,11/24/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Alabama,AL,,,,582,,413,,2,,,6852,,775,,519,32,11/16/20,
Alaska,AK,,,,95,,,,0,,,9664,,521,,,0,11/18/20,
Arizona,AZ,,,,903,,807,,,,41572,,,2815,,2609,28,11/17/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Arkansas,AR,,,,,,,,2,,19512,,,8566,,8003,48,11/17/20,"On Sept. 1, Arkansas changed its tracking system for staff cases. We've removed weeks after the switch when Arkansas was reporting unchanged figures until new tallies were available in November."
California,CA,,,111,459,52,217,1,2,5477,21441,,663,3028,226,577,12,6/9/20,
Colorado,CO,,,,570,,,,,,16137,77785,,2933,,,6,11/18/20,
Connecticut,CT,,19212,,612,,505,,0,,,23065,,1749,,1692,8,11/17/20,
Delaware,DE,,,0,89,0,60,0,0,,299,,0,148,3,140,7,6/11/20,We corrected the prisoner deaths which we had incorrect in an early release.
Florida,FL,,,,3647,,3318,,4,,,84454,,16999,,16385,187,11/18/20,
Georgia,GA,,,,1056,,961,,2,,,,,2182,,1974,80,11/17/20,
Hawaii,HI,,,,124,,114,,0,,,7772,,953,,805,0,11/17/20,
Idaho,ID,3040,,,239,,201,,0,,9300,,,2284,,1863,5,11/17/20,
Illinois,IL,,,,1974,,1414,,1,,,,,3347,,2549,36,11/17/20,
Indiana,IN,,3331,,744,,553,,3,,,9305,,1859,,1691,33,11/17/20,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,421,,290,,1,,,26233,,2985,,2390,7,11/17/20,First staff death this week.
Kansas,KS,,,,617,,,,3,,,,,4539,,,11,11/18/20,
Kentucky,KY,,,,311,,183,,2,,,,,2056,,1171,13,11/18/20,
Louisiana,LA,2045,,,539,,515,,5,,6909,,,2428,,2339,30,11/17/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Maine,ME,,,,25,,15,,0,,,5640,,150,,119,0,11/17/20,
Maryland,MD,,31313,,857,,782,,2,,,34992,,1199,,1004,13,11/16/20,
Massachusetts,MA,,,,330,,,,,,,14747,,846,,,8,11/18/20,
Michigan,MI,,59035,,1468,,705,,3,,39500,255441,,9763,,5253,75,11/17/20,
Minnesota,MN,,,,672,,309,,0,,,65273,,2744,,1631,3,11/17/20,"Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new testing method, they don't have new presumed positives that will be added to this column"
Mississippi,MS,,464,,146,,,,,,,2263,,889,,,,11/20/20,
Missouri,MO,,,,,,,,,,,,,,,,,,
Montana,MT,111,,,3,,,,0,,291,,,2,,,0,6/9/20,The number of prisoner cases and tests were later revised to exclude those who tested positive while released on parole.
Nebraska,NE,,,,,,,,,,2752,4111,,577,,281,3,11/20/20,
Nevada,NV,,,,275,,49,,2,,,,,577,,27,0,11/17/20,"In late December, Nevada revised its number of deaths and this week's figures were adjusted accordingly."
New Hampshire,NH,,,,16,,13,,0,,,148,,1,,1,0,11/17/20,
New Jersey,NJ,,,,1182,,,,,,,,,3144,,,52,11/17/20,
New Mexico,NM,,,,384,,102,,0,,,20673,,1266,,560,8,11/17/20,
New York,NY,,,,1617,,1482,,5,,35556,,,1709,,1564,18,11/17/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
North Carolina,NC,,,,1472,,1168,,4,,35619,57615,,4909,,3928,22,11/17/20,
North Dakota,ND,991,11121,,181,,137,,0,,2449,14447,,318,,174,0,11/17/20,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,,1983,,1575,,5,,,42077,,7299,,5663,111,11/17/20,
Oklahoma,OK,,3868,,524,,,,,,,21565,,5404,,,31,11/17/20,
Oregon,OR,,,,347,,303,,0,,,9886,,1365,,1230,16,11/17/20,
Pennsylvania,PA,,3363,,897,,447,,3,,,31520,,1544,,741,21,11/17/20,
Rhode Island,RI,,,,145,,,,0,,,,,279,,,0,11/17/20,"11/17 data shows 240 cases among residents and 43 cases among ""new admissions"", subtracting 4 presumed positives. 97 cases among facility staff and 61 cases among non-facility staff, subtracting 13 presumed positives. RIDOH contact confirmed that there were no new presumed positives after we received the 4 and 13 figures on 11/5"
South Carolina,SC,,,,549,,513,,2,,,,,2396,,2162,31,11/17/20,
South Dakota,SD,,345,,154,,133,,0,,,4366,,2078,,1849,3,11/17/20,
Tennessee,TN,,,,795,,681,,2,,,34690,,5941,,5715,27,11/17/20,
Texas,TX,,85017,,6222,,5226,,23,,,233993,,25781,,22412,165,11/17/20,The number of prisoner deaths was incorrect and has been updated.
Utah,UT,,,,129,,92,,,,,7063,,1161,,358,,11/18/20,
Vermont,VT,,,,25,,24,,0,,2361,8117,,240,,238,0,11/17/20,
Virginia,VA,,,,,,,,1,,,,,4260,,,34,11/17/20,
Washington,WA,,,,274,,,,1,,5562,6216,,610,,512,2,11/17/20,
West Virginia,WV,,5090,,195,,154,,0,,,7518,,606,,333,2,11/17/20,
Wisconsin,WI,,,,1534,,1206,,,,,66437,,7047,,4881,10,11/17/20,
Wyoming,WY,,,,126,,96,,0,,,10195,,391,,304,0,11/17/20,
Federal,US,,,,2792,,1677,,2,,75896,,,22203,,18956,152,11/17/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Alabama,AL,,,,542,,408,,2,,6783,,,751,,496,32,11/11/20,
Alaska,AK,,,,74,,,,0,,,8674,,357,,,0,11/10/20,
Arizona,AZ,,,,855,,769,,,,41380,,,2667,,2609,28,11/10/20,
Arkansas,AR,,,,,,,,2,,19294,,,8343,,7720,48,11/10/20,"On Sept. 1, Arkansas changed its tracking system for staff cases. We've removed weeks after the switch when Arkansas was reporting unchanged figures until new tallies were available in November."
California,CA,,,105,564,52,269,0,2,4225,25666,,197,3225,455,1032,17,6/16/20,
Colorado,CO,,,,,,,,0,,,65192,,1996,,,4,11/10/20,
Connecticut,CT,,18550,,556,,451,,0,,,22341,,1686,,1673,7,11/10/20,
Delaware,DE,,,3,92,11,71,0,0,,299,,0,148,0,140,7,6/12/20,
Florida,FL,,,,3586,,3249,,,,,84360,,16969,,16341,184,11/10/20,
Georgia,GA,,,,1027,,930,,2,,,,,2095,,1936,79,11/10/20,
Hawaii,HI,,,,121,,110,,0,,,7724,,878,,458,0,11/10/20,
Idaho,ID,2921,,,209,,188,,0,,9238,,,2249,,1835,4,11/10/20,Idaho has had 3 staff members test positive for COVID a second time. They are only included in this case count once.
Illinois,IL,2300,,,1638,,1193,,1,,14000,,,3008,,2296,34,11/10/20,
Indiana,IN,,3037,,650,,500,,3,,,8730,,1726,,1551,30,11/10/20,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,333,,223,,0,,,23797,,2426,,1269,5,11/10/20,
Kansas,KS,,,,557,,,,3,,,,,4406,,,9,11/12/20,
Kentucky,KY,,,,229,,,,2,,,,,1524,,,13,11/10/20,
Louisiana,LA,2030,,,528,,505,,5,,6895,,,2416,,2337,30,11/10/20,
Maine,ME,,,,16,,8,,0,,,5428,,125,,14,0,11/10/20,
Maryland,MD,,28496,,808,,763,,2,,33710,,,1039,,994,13,11/9/20,
Massachusetts,MA,,,,284,,,,,,,12674,,740,,,8,11/11/20,
Michigan,MI,,51283,,1183,,514,,3,,39371,229095,,8295,,5231,74,11/10/20,
Minnesota,MN,,,,561,,247,,0,,,58037,,2138,,1435,3,11/9/20,"Inmate recovery numbers exclude 38 presumed positives from some time in April. Since they switched to a new testing method, they don't have new presumed positive cases."
Mississippi,MS,,464,,146,,,,,,,2120,,816,,,,11/10/20,
Missouri,MO,,11593,,1616,,,,2,,,51732,,4226,,,22,11/12/20,
Montana,MT,111,,,3,,,,,,291,,,2,,,,6/17/20,The number of prisoner and staff cases and tests were later revised to exclude the Pine Hill juvenile facility.
Nebraska,NE,,,,,,,,,,2310,3479,,429,,269,3,11/13/20,
Nevada,NV,,,,203,,46,,2,,,,,170,,27,0,11/10/20,"In late December, Nevada revised its number of deaths and this week's figures were adjusted accordingly."
New Hampshire,NH,,,,13,,12,,0,,139,,,1,,1,0,11/10/20,
New Jersey,NJ,,,,1112,,,,,,,,,3114,,,52,11/10/20,
New Mexico,NM,,,,325,,93,,0,,,20673,,1120,,555,5,11/10/20,
New York,NY,,,,1558,,,,5,,32818,,,1644,,1527,18,11/10/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
North Carolina,NC,,,,1377,,1114,,2,,35374,55756,,4555,,3811,22,11/12/20,
North Dakota,ND,990,10551,,157,,126,,0,,2422,13493,,271,,130,0,11/12/20,"The testing figures are for 11/10, and the case and death figures are as of 11/12. In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,,1732,,1478,,5,,40375,,,7121,,5563,111,11/10/20,
Oklahoma,OK,,3199,,468,,,,,,,20390,,4702,,,,11/10/20,"Oklahoma later revised its prisoner numbers down, but has not provided an updated figure for this week."
Oregon,OR,,,,327,,295,,0,,,9383,,1315,,1218,16,11/12/20,
Pennsylvania,PA,,3082,,718,,392,,3,,,28187,,1093,,605,17,11/10/20,
Rhode Island,RI,,,,,,,,,,,,,,,,,,
South Carolina,SC,,,,537,,511,,2,,,,,2378,,2105,31,11/10/20,
South Dakota,SD,,321,,144,,96,,0,,,4179,,2009,,1768,1,11/10/20,
Tennessee,TN,,7579,,708,,645,,2,,,33907,,5705,,5687,27,11/10/20,
Texas,TX,,81982,,5892,,5020,,21,,,230577,,25548,,22357,163,11/10/20,"In November, Texas re-classified several other deaths that had been presumed to be connectedto coronavirus as unrelated to COVID. We have adjusted our death totals accordingly."
Utah,UT,,,,103,,70,,0,,,4115,,886,,358,0,11/9/20,The number of tests conducted was mistakenly placed in the column for the total number of people tested. This has been updated.
Vermont,VT,,,,24,,24,,0,,2315,7844,,240,,238,0,11/10/20,
Virginia,VA,,,,,,,,1,,,,,4190,,,33,11/10/20,
Washington,WA,,,,241,,,,1,,5502,6143,,537,,507,2,11/10/20,
West Virginia,WV,,4778,,152,,124,,0,,,7093,,440,,332,2,11/10/20,
Wisconsin,WI,,,,1281,,973,,,,,60927,,5745,,3952,10,11/10/20,
Wyoming,WY,,,,,,,,,,,,,,,,,,
Federal,US,,,,2526,,1543,,2,,73247,,,20495,,17842,146,11/10/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Alabama,AL,,,,490,,405,,2,,,6554,,711,,458,28,11/2/20,
Alaska,AK,,,,64,,,,0,,,8121,,240,,,0,11/3/20,
Arizona,AZ,,,,792,,731,,,,41196,,,2648,,2603,28,11/3/20,
Arkansas,AR,,,,,,,,2,,18771,,,7820,,7325,48,11/3/20,"Arkansas is no longer reporting cumulative staff positive cases, but said they have 65 active staff cases now."
California,CA,,,109,673,48,317,0,2,6059,31725,,575,3800,848,1880,19,6/23/20,
Colorado,CO,,,,366,,,,,,17395,58374,,1718,,,4,11/3/20,
Connecticut,CT,,15308,,503,,451,,0,,,22341,,1674,,1659,7,11/3/20,
Delaware,DE,805,,1,93,9,80,0,0,,300,,0,148,0,140,7,6/25/20,
Florida,FL,,,,3508,,3177,,4,,,84331,,16631,,16255,180,11/4/20,
Georgia,GA,,,,1019,,912,,2,,,,,2063,,1862,78,11/3/20,
Hawaii,HI,,,,121,,109,,0,,,6431,,803,,399,0,11/4/20,Hawaii's Department of Public Safety later revised its number of staff cases. Our total here has been updated accordingly.
Idaho,ID,2650,,,195,,172,,0,,8977,,,2169,,1833,3,11/3/20,
Illinois,IL,,,,1315,,1058,,0,,13400,,,2598,,2081,31,11/4/20,
Indiana,IN,,2777,,565,,462,,3,,,8216,,1597,,1447,28,11/4/20,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,251,,182,,0,,,21878,,1394,,1246,4,11/3/20,
Kansas,KS,,,,475,,,,3,,,,,3653,,,9,11/4/20,
Kentucky,KY,,,,208,,,,2,,,,,1250,,,13,11/3/20,A number of the prisoner cases were transferred from county jails.
Louisiana,LA,2023,,,521,,496,,5,,6847,,,2413,,2334,30,11/3/20,
Maine,ME,,,,,,,,,,4791,,,79,,,,11/4/20,
Maryland,MD,,27257,,791,,742,,2,,32243,,,1026,,973,11,11/2/20,
Massachusetts,MA,,,,262,,,,,,,11664,,557,,,8,11/4/20,
Michigan,MI,,36490,,920,,509,,3,,39282,196489,,7284,,5208,74,11/3/20,
Minnesota,MN,,,,447,,,,0,,,55766,,1902,,,2,11/3/20,
Mississippi,MS,464,,,146,,,,,,2096,,,809,,,,11/3/20,
Missouri,MO,,,,1417,,1051,,2,,,50979,,3793,,2781,10,11/3/20,
Montana,MT,195,,,3,,3,,0,,723,,,3,,3,0,6/23/20,The number of prisoner and staff cases and tests were later revised to exclude the Pine Hill juvenile facility.
Nebraska,NE,,,,,,,,,,2134,3164,,283,,241,2,11/1/20,
Nevada,NV,,,,171,,43,,2,,,,,42,,27,0,11/3/20,"In late December, Nevada revised its number of deaths and this week's figures were adjusted accordingly."
New Hampshire,NH,,,,12,,12,,0,,134,,,1,,1,0,11/3/20,
New Jersey,NJ,,,,1059,,,,,,,,,3052,,,52,11/3/20,
New Mexico,NM,,,,232,,93,,0,,,19524,,808,,541,4,11/3/20,
New York,NY,,,,1522,,,,5,,29726,,,1590,,1227,18,11/3/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
North Carolina,NC,,,,1296,,1059,,2,,35144,54440,,4330,,3512,20,11/3/20,
North Dakota,ND,987,9998,,135,,82,,0,,2342,12385,,137,,100,0,11/3/20,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,,1569,,1367,,5,,39003,,,6959,,5408,109,11/3/20,
Oklahoma,OK,,2763,,427,,,,,,,19623,,4571,,,26,11/3/20,The number of tests conducted was mistakenly placed in the column for people tested. This has been updated.
Oregon,OR,,,,310,,287,,0,,,8872,,1274,,1166,16,11/3/20,
Pennsylvania,PA,,2771,,594,,346,,2,,,20318,,841,,434,16,11/3/20,
Rhode Island,RI,,,,104,,,,0,,,,,60,,,0,11/5/20,"Staff cases include 58 cases among non-facility staff and 59 cases among facility staff. However, 13 of these are ""presumptive positives"" and have been subtracted for a total of 104 cases. Among residents, 36 cases are ""new admissions infected prior to admission"" and 28 cases are among residents. Of these 4 were presumptive positives and have been subtracted. The inmate cases do include pre-trial detainees who were released before their tests came back positive. According to DOH contact, no one was released while they were positive"
South Carolina,SC,,,,528,,494,,2,,8045,,,2356,,2074,31,11/3/20,
South Dakota,SD,,298,,128,,76,,0,,,3886,,1791,,1337,0,11/3/20,
Tennessee,TN,,,,708,,645,,2,,,33907,,5705,,5687,27,11/6/20,
Texas,TX,,78332,,5599,,4854,,21,,,221090,,23429,,22244,163,11/3/20,"In November, Texas re-classified several other deaths that had been presumed to be connectedto coronavirus as unrelated to COVID. We have adjusted our death totals accordingly."
Utah,UT,,,,80,,66,,0,,,3465,,642,,355,0,11/3/20,Staff deaths backfilled based on 11/10 data. The number of tests conducted was mistakenly placed in the column for the total number of people tested. This has been updated.
Vermont,VT,,,,24,,23,,0,,2295,7650,,240,,238,0,11/3/20,
Virginia,VA,,,,885,,811,,1,,,47204,,3971,,3766,33,11/3/20,
Washington,WA,,,,207,,,,1,,5496,6137,,531,,495,2,11/3/20,
West Virginia,WV,,4464,,126,,111,,0,,,6870,,384,,330,2,11/3/20,
Wisconsin,WI,,,,1040,,824,,,,,56168,,4749,,2995,10,11/3/20,"(note: Prisoners_recovered = inactive positive cases - deaths, according to new update on the site)"
Wyoming,WY,,,,,,,,,,,,,,,,,,
Federal,US,,,,2327,,1396,,2,,70937,,,19184,,17041,141,11/3/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Alabama,AL,,,,455,,388,,2,,,5339,,532,,416,27,10/26/20,Updated this week's totals after seeing last week's numbers we caught halfway into a daily update.
Alaska,AK,,,,52,,,,0,,,7523,,186,,,0,10/27/20,
Arizona,AZ,,,,758,,716,,,,40937,,,2636,,2593,28,10/27/20,
Arkansas,AR,,,,,,,,2,,18480,,,7529,,6904,48,10/27/20,"On Sept. 1, Arkansas changed its tracking system for staff cases. We've removed weeks after the switch when Arkansas was reporting unchanged figures until new tallies were available in November."
California,CA,,,174,847,53,370,0,2,9028,40753,,1139,4939,346,2226,22,6/30/20,
Colorado,CO,,,,294,,190,,0,,16111,50385,,1407,,987,4,10/27/20,
Connecticut,CT,,13554,,482,,424,,0,,,20646,,1673,,1621,7,10/27/20,
Delaware,DE,805,,2,95,5,85,1,1,,306,,2,150,0,140,7,6/29/20,
Florida,FL,,,,3441,,3124,,4,,,82852,,16624,,16240,170,10/28/20,
Georgia,GA,,,,996,,890,,2,,,,,2044,,1840,78,10/27/20,
Hawaii,HI,,,,120,,108,,0,,,5284,,475,,399,0,10/27/20,
Idaho,ID,2548,,,185,,154,,0,,8807,,,2154,,1580,3,10/27/20,
Illinois,IL,,,,1152,,965,,0,,13200,,,2300,,1907,29,10/27/20,
Indiana,IN,,2622,,525,,434,,3,,,7462,,1443,,1391,28,10/27/20,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,199,,169,,0,,,19731,,1256,,1229,4,10/27/20,
Kansas,KS,,,,422,,,,3,,,,,3605,,,7,10/29/20,
Kentucky,KY,,,,194,,,,2,,,,,1164,,,13,10/27/20,
Louisiana,LA,2015,,,518,,490,,5,,6834,,,2410,,2329,30,10/27/20,
Maine,ME,,,,7,,2,,0,,3040,,,4,,4,0,10/27/20,
